ymd,jyo,racenum,age,joken,track,kyori,baba,tosu,tan,fuk1,fuk2,fuk3,umaren,umatan,3renpuku,3rentan,wide1,wide2,wide3,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,winrate,topodds
20250105,7,3,1,703,23,1900,1,16,150,110,180,390,500,690,3120,6480,270,720,1710,6,1,16,3,9,5,12,2,14,8,13,10,7,11,4,15,0,0,0.246,4.5,
20250105,7,12,2,5,11,1600,1,16,1120,280,150,280,2170,5320,8070,49830,830,1870,800,2,5,1,11,8,12,3,7,9,4,13,10,15,6,14,16,0,0,0.208,3.4,
20250105,7,11,2,999,11,1600,1,16,1200,370,240,210,4870,12060,8980,69740,1670,1100,860,6,3,14,11,13,4,10,4,1,2,12,15,9,7,16,8,0,0,0.243,3.9,
20250105,7,10,2,16,23,1200,1,16,470,210,340,1120,2520,4530,53640,195400,1080,4180,6500,1,10,5,11,7,9,13,8,2,6,16,14,4,12,3,15,0,0,0.250,4.7,
20250105,7,8,2,10,23,1200,1,16,4880,990,380,290,25580,55490,46350,441710,6010,3890,1640,16,7,5,2,8,15,14,4,13,1,6,3,12,10,9,11,0,0,0.275,6.3,
20250105,7,7,1,5,11,2000,1,9,570,150,150,110,1960,3830,1050,11520,490,290,270,3,6,5,1,8,4,7,2,9,0,0,0,0,0,0,0,0,0,0.287,1.9,
20250105,7,6,2,5,23,1800,1,16,170,110,150,160,490,770,1200,3020,230,260,570,1,2,4,7,16,3,8,15,5,13,9,6,11,12,14,10,0,0,0.361,1.7,
20250105,7,2,1,703,23,1400,1,16,490,170,180,400,1140,2270,6290,25870,470,1570,1300,6,9,15,1,2,7,16,13,14,4,5,12,8,3,11,10,0,0,0.217,4.7,
20250105,6,12,2,10,24,1200,1,16,730,220,180,210,1240,3080,1930,13670,510,570,540,4,3,1,2,9,8,13,5,10,7,12,11,16,14,6,15,0,0,0.215,3.2,
20250105,6,11,2,999,17,2000,1,18,840,300,310,430,3660,6990,20630,93740,1320,2700,2310,4,7,15,1,12,9,2,8,3,6,14,10,17,5,13,11,18,16,0.248,4.4,
20250105,6,10,1,999,18,1600,1,15,180,120,180,600,600,890,6220,14510,310,1470,2470,1,2,15,10,6,3,8,5,4,11,7,9,12,13,14,0,0,0,0.313,1.8,
20250105,6,9,2,16,24,1800,1,16,1380,460,1730,790,42080,68500,183380,1218070,9040,3000,19440,11,7,5,1,9,12,6,8,16,4,13,3,15,2,14,10,0,0,0.214,4.3,
20250105,7,9,2,10,11,2200,1,11,320,140,280,110,2770,3970,1430,9720,760,220,570,3,7,1,4,2,9,5,10,6,0,8,0,0,0,0,0,0,0,0.359,1.9,
20250105,6,8,2,10,18,1200,1,16,420,190,310,260,2930,4960,6230,29480,940,710,1190,7,4,1,15,8,2,3,10,5,14,11,9,16,13,12,6,0,0,0.276,2.9,
